Paragraphs,Links,Images
Page principale,,http://fondationscp.wdfiles.com/local--files/host/logo-scp-250.png
Séries SCP,/,https://api.crom.avn.sh/pixel?site_name=fondationscp&fullname=scp-000&revisions=14&rating=61&rating_votes=61
SCP-FR | SCP-INT,javascript:;,https://raw.githubusercontent.com/FondationSCP/module-de-credit/main/img/blank.png
I | II | III | IV | V,/liste-fr,http://thumbnails.wdfiles.com/thumbnail/site/lm-wiki.wikidot.com/80.jpg
VI | VII | VIII | IX,/liste-fr#001,http://thumbnails.wdfiles.com/thumbnail/site/scp-njw.wikidot.com/80.jpg
Comment contribuer,/liste-fr#100,http://thumbnails.wdfiles.com/thumbnail/site/eitriggcrafting.wikidot.com/80.jpg
Rejoignez-nous !,/liste-fr#200,http://thumbnails.wdfiles.com/thumbnail/site/backrooms-mghc.wikidot.com/80.jpg
Les Règles du site,/liste-fr#300,
Écrire votre rapport SCP,/liste-fr#400,
Traduire pour le wiki,/liste-fr#500,
Réserver une traduction,/liste-fr#600,
Découvrir les articles,/scp-series,
Recommandations de lecture,/scp-series#001,
Pages populaires,/scp-series#100,
SCP | Conte aléatoire,/scp-series#200,
Changements récents,/scp-series#300,
Communauté,/scp-series#400,
Forum | Messages récents,/scp-series#500,
Demander un mentor,/scp-series#600,
Rencontrer un vétéran,/scp-series#700,
Contacter le staff,/scp-series#800,
Page des membres,/scp-series#900,
F.A.Q. | Gazette d'Aleph,/scp-series-2,
Ateliers,/scp-series-2#1000,
Site jumeau,/scp-series-2#1100,
La Bibliothèque des Vagabonds,/scp-series-2#1200,
Technique,/scp-series-2#1300,
Créer une page,/scp-series-2#1400,
Ressources diverses,/scp-series-2#1500,
Guides et essais,/scp-series-2#1600,
Site bac à sable,/scp-series-2#1700,
Syntaxe Wikidot,/scp-series-2#1800,
Crédits et statistiques,/scp-series-2#1900,
Archives multimédia,/scp-series-3,
Guide des Tags,/scp-series-3#2000,
Site du Staff,/scp-series-3#2100,
Informations légales,/scp-series-3#2200,
Retrouvez-nous sur,/scp-series-3#2300,
Discord,/scp-series-3#2400,
Instagram,/scp-series-3#2500,
Twitter,/scp-series-3#2600,
Facebook,/scp-series-3#2700,
,/scp-series-3#2800,
,/scp-series-3#2900,
,/scp-series-4,
"Titre original : SCP-000
Auteur : CryogenChaos
Traducteur : DrJohannes
Date de publication originale : 23 novembre 2013",/scp-series-4#3000,
Objjët nO ŚČР-000,/scp-series-4#3100,
_XClas§e : #NULL,/scp-series-4#3200,
PROCEDURES() de ςόЛţДĬЛΜ$%#ll [to undefined function] SpecïÅles : Erreur : Le champ PROCEDURES_DE_CONFINEMENT n'est pas défini.,/scp-series-4#3300,
Ðєš5(rĬρţĬό0n : Erreur système interne : champ non défini. Veuillez contacter l'administrateur du système. Erreur système interne : champ non défini. Veuillez contacter l'administrateur du système. ERяяeuя Sуѕtємe InteRи3 : ςhДMρ ЛόЛ Ðëƒïnï. VєüïĿĿєz ςόЛţДςţëя Ŀ'ДÐMïnïsţєüя Ðü šΫšţєΜMMMMMMMMMMMM^@#$@!^&&%**$*%^*%^%^,/scp-series-4#3400,
"Bon alors, j'en ai marre de cette connerie. Le système continue d'envoyer des tickets de dépannage pour cette page de la base de données, et je n'ai plus envie d'essayer d'y toucher. Je vais systématiquement supprimer tous les tickets d'intervention impliquant l'emplacement 000 de la base de données, parce que ça m'empêche de travailler sur de vrais problèmes, et aussi parce que ça me fait chier, accessoirement. Je ne sais pas pourquoi la syntaxe continue de déconner comme ça, mais au bout du compte ça n'arrive que sur cette page, et vu que tout ce qui est dessus n'est qu'un gros tas de données corrompues, il est clair que c'est juste la base de données qui se fait dessus devant l'absence de vraie information. Si je constate un changement, je regarderai ça de plus près, mais jusqu'à nouvel ordre, le sujet est clos.
- Chercheur Technicien Rosen",/scp-series-4#3500,
"Cette cage est vaste, elle n'a pas de murs. Lorsque je me tiens immobile, tout ce que je vois est une plaine blanche s'étalant à perte de vue sous un ciel tout aussi blanc. Il n'y a pas de vie ici. Je peux bouger autant que je veux, mais si je m'arrête un seul instant je me retrouve de nouveau à cet endroit, à jamais condamné à être enchaîné à ma prison. Malgré tout, j'ai beaucoup marché, explorant ce purgatoire que j'ai connu depuis des années. Au cours de mes voyages dans cette blanche terre désolée, j'ai eu comme de courtes visions de choses, de choses horribles qui ne devraient pas exister. Des abominations grotesques qui apparaissent un instant, puis s'en vont comme si elles n'avaient jamais été là.",/scp-series-4#3600,
"Mes souvenirs de ces créatures me ramènent continuellement à un souvenir spécifique. Un être noir informe, une chose indéfinie qui n'aurait pu être créée par aucun Dieu dans cette réalité ni une autre, est apparue devant moi alors que je marchais et m'a fixé de ses yeux rouges. Tandis que je m'en approchais, dans mon esprit, je pouvais sentir sa haine, sa rage et sa peur, des émotions que je connaissais mais que je n'avais encore jamais ressenties avec une telle intensité que celle émanant de cette entité. Aussi vite qu'elle était venue, elle a disparu, et pendant un instant j'aurais juré avoir vu sa mâchoire tordue prononcer un mot, une expression dont j'ignorais encore le sens et le contexte.",/scp-series-4#3700,
"""Fondation"".",/scp-series-4#3800,
"J'ai médité sur le sens de ce mot, ce message final d'une créature de cauchemar que je n'ai pas revue depuis. J'ai essayé de m'approcher des autres visions dans l'espoir d'en apprendre davantage sur ce mot, mais je peux à peine comprendre leur apparence avant que les créatures ne retournent au vide d'où elles viennent. Je me suis demandé alors… que sont ces créatures ? D'où viennent-elles ? D'où viens-je ? Comment suis-je arrivé dans cet endroit ? Comment puis-je sortir de cet endroit ? Ces questions restent sans réponse, et j'ai bien peur qu'elles ne le restent à jamais - une pensée qui ne cesse de me tourmenter.",/scp-series-4#3900,
"Étrangement, l'autre effet de cette rencontre accidentelle a été bien plus productif. Avant cela, j'ignorais posséder une bouche, ou des cordes vocales, ou n'importe quel organe permettant d'émettre un son. Bien que je sois conscient de respirer, le vide autour de moi ne fournissait aucune réponse audible lorsque l'air entrait dans mes poumons. En dépit de cela, émettre un son était désormais non seulement possible, mais aussi presque tentant. Après avoir entendu le mot qui a été prononcé devant moi, j'ai senti qu'il était de mon devoir… non, de mon droit de détruire le silence que j'avais connu pendant si longtemps.",/scp-series-5,
